run_id,stage,family,instance,policy,solver,gap,seed,record,outcome,infrastructure_failure,status
repl-cplex-caso42b-Role-Hybrid-g0.001,replication,Simple,caso42b,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso42b-Flat-GM-g0.001,replication,Simple,caso42b,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso42b-Base-g0.001,replication,Simple,caso42b,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Base-g0.01,replication,Simple,caso44c,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Flat-L2-g0.01,replication,Simple,caso44c,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Role-Hybrid-g0.01,replication,Simple,caso44c,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Flat-GM-g0.01,replication,Simple,caso44c,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Flat-L2-g0.001,replication,Simple,caso44c,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Flat-GM-g0.001,replication,Simple,caso44c,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Base-g0.001,replication,Simple,caso44c,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso44c-Role-Hybrid-g0.001,replication,Simple,caso44c,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Flat-GM-g0.01,replication,Simple,caso46e,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Role-Hybrid-g0.01,replication,Simple,caso46e,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Flat-L2-g0.01,replication,Simple,caso46e,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Base-g0.01,replication,Simple,caso46e,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Role-Hybrid-g0.001,replication,Simple,caso46e,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Flat-L2-g0.001,replication,Simple,caso46e,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Flat-GM-g0.001,replication,Simple,caso46e,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-caso46e-Base-g0.001,replication,Simple,caso46e,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Base-g0.01,replication,SG-Ter-Mer,instance001,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Flat-L2-g0.01,replication,SG-Ter-Mer,instance001,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Flat-GM-g0.01,replication,SG-Ter-Mer,instance001,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance001,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance001,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Flat-L2-g0.001,replication,SG-Ter-Mer,instance001,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Base-g0.001,replication,SG-Ter-Mer,instance001,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance001-Flat-GM-g0.001,replication,SG-Ter-Mer,instance001,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance005,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Base-g0.01,replication,SG-Ter-Mer,instance005,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Flat-L2-g0.01,replication,SG-Ter-Mer,instance005,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Flat-GM-g0.01,replication,SG-Ter-Mer,instance005,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Flat-L2-g0.001,replication,SG-Ter-Mer,instance005,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Base-g0.001,replication,SG-Ter-Mer,instance005,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Flat-GM-g0.001,replication,SG-Ter-Mer,instance005,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance005-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance005,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Role-Hybrid-g0.01,replication,SG-Ter-Mer,instance014,Role-Hybrid,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Flat-L2-g0.01,replication,SG-Ter-Mer,instance014,Flat-L2,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Base-g0.01,replication,SG-Ter-Mer,instance014,Base,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Flat-GM-g0.01,replication,SG-Ter-Mer,instance014,Flat-GM,cplex,0.01,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Flat-L2-g0.001,replication,SG-Ter-Mer,instance014,Flat-L2,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Base-g0.001,replication,SG-Ter-Mer,instance014,Base,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Role-Hybrid-g0.001,replication,SG-Ter-Mer,instance014,Role-Hybrid,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
repl-cplex-instance014-Flat-GM-g0.001,replication,SG-Ter-Mer,instance014,Flat-GM,cplex,0.001,42,True,COMPLETED,False,present: solver outcome
