cell,instance,variant,status_solver,completed,solver_seconds,par10_seconds,work_recorded,work_native_log,work_native_resolution,work_rounding_mismatch,nodes,max_absolute_row_residual,max_rhs_normalized_residual,max_activity_normalized_residual,verification_available,absolute_1e6_pass,activity_1e8_pass,activity_1e6_pass,log
gurobi_sgtm_1pct,instance014.txt,role_hybrid,OPTIMAL,True,0.43443219,0.43443219,0.0,0.38,0.01,True,1.0,4.91738319396973e-07,1.02318153949454e-12,2.54350239933593e-15,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance014_role_hybrid.log
gurobi_sgtm_1pct,instance022.txt,base,OPTIMAL,True,0.377250018,0.377250018,0.309452,0.31,0.01,False,1.0,2.36555933952332e-07,3.12638803734444e-13,1.26064033763889e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance022_base.log
gurobi_sgtm_1pct,instance022.txt,matricial_plano,OPTIMAL,True,0.466928547,0.466928547,0.0,0.4,0.01,True,1.0,6.12810254096985e-07,2.57571741713036e-13,1.90511643278873e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance022_matricial_plano.log
gurobi_sgtm_1pct,instance022.txt,matricial_plano_l2,OPTIMAL,True,0.664425284,0.664425284,1.0,0.56,0.01,True,1.0,7.05942511558533e-07,2.96651592179842e-13,1.73165316893968e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance022_matricial_plano_l2.log
gurobi_sgtm_1pct,instance022.txt,role_hybrid,OPTIMAL,True,0.446979991,0.446979991,0.0,0.38,0.01,True,1.0,6.12810254096985e-07,2.57571741713036e-13,1.90511643278873e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance022_role_hybrid.log
gurobi_sgtm_1pct,instance027.txt,base,OPTIMAL,True,15.547770994,15.547770994,12.900742,12.9,0.01,False,6131.0,2.38418579101562e-07,2.22932783344731e-13,1.44956663204685e-15,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance027_base.log
gurobi_sgtm_1pct,instance027.txt,matricial_plano,OPTIMAL,True,6.23873979,6.23873979,5.0,5.22,0.01,True,1806.0,4.9591064453125e-05,3.19744231092045e-13,4.23508372522593e-15,True,False,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance027_matricial_plano.log
gurobi_sgtm_1pct,instance027.txt,matricial_plano_l2,OPTIMAL,True,16.427686689,16.427686689,15.0,15.09,0.01,True,11808.0,7.5995922088623e-07,2.48689957516035e-13,8.6406303535909e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance027_matricial_plano_l2.log
gurobi_sgtm_1pct,instance027.txt,role_hybrid,OPTIMAL,True,6.162102302,6.162102302,5.0,5.02,0.01,True,2718.0,5.81145286560059e-07,2.06057393370429e-13,1.71144014427267e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance027_role_hybrid.log
gurobi_sgtm_1pct,instance031.txt,base,OPTIMAL,True,0.325929649,0.325929649,0.319442,0.32,0.01,False,1.0,2.38418579101562e-07,1.56319401867222e-13,1.22892611530835e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance031_base.log
gurobi_sgtm_1pct,instance031.txt,matricial_plano,OPTIMAL,True,0.284444423,0.284444423,0.0,0.26,0.01,True,1.0,6.38887286186218e-07,1.4477308241112e-13,2.10745151309015e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance031_matricial_plano.log
gurobi_sgtm_1pct,instance031.txt,matricial_plano_l2,OPTIMAL,True,0.329037901,0.329037901,0.0,0.33,0.01,True,1.0,5.96046447753906e-07,1.56319401867222e-13,1.84001997787526e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance031_matricial_plano_l2.log
gurobi_sgtm_1pct,instance031.txt,role_hybrid,OPTIMAL,True,0.314764002,0.314764002,0.0,0.33,0.01,True,1.0,5.66244125366211e-07,3.09086090055644e-13,2.23515098997383e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance031_role_hybrid.log
gurobi_sgtm_1pct,instance042.txt,base,OPTIMAL,True,0.365755103,0.365755103,0.333497,0.33,0.01,False,1.0,2.38418579101562e-07,4.2277292777726e-13,1.93672545972504e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance042_base.log
gurobi_sgtm_1pct,instance042.txt,matricial_plano,OPTIMAL,True,0.331925054,0.331925054,0.0,0.34,0.01,True,1.0,6.63101673126221e-07,3.69482222595252e-13,1.72333126210472e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance042_matricial_plano.log
gurobi_sgtm_1pct,instance042.txt,matricial_plano_l2,OPTIMAL,True,0.326631261,0.326631261,0.0,0.35,0.01,True,1.0,6.48200511932373e-07,5.29354338141275e-13,2.91640675125414e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance042_matricial_plano_l2.log
