instance,perm_index,is_true_map,kappa2_pos
coupling_S6_seed20250823,4,0,7.620990e+02
coupling_S6_seed20250823,5,0,3.865882e+03
coupling_S6_seed20250823,6,0,7.568391e+02
coupling_S6_seed20250823,7,0,7.677918e+02
coupling_S6_seed20250823,8,0,4.274519e+03
coupling_S6_seed20250823,9,0,4.783163e+04
coupling_S6_seed20250823,10,0,4.278801e+03
coupling_S6_seed20250823,11,0,4.783163e+04
coupling_S6_seed20250823,12,0,7.731246e+02
coupling_S6_seed20250823,13,0,3.867421e+03
coupling_S6_seed20250823,14,0,4.274523e+03
coupling_S6_seed20250823,15,0,4.783163e+04
coupling_S6_seed20250823,16,0,5.741478e+03
coupling_S6_seed20250823,17,0,4.783199e+04
coupling_S6_seed20250823,18,0,7.838382e+02
coupling_S6_seed20250823,19,0,3.867436e+03
coupling_S6_seed20250823,20,0,4.278805e+03
coupling_S6_seed20250823,21,0,4.783163e+04
coupling_S6_seed20250823,22,0,5.741478e+03
coupling_S6_seed20250823,23,0,4.783199e+04
coupling_S6_seed20250824,0,1,8.515960e+03
coupling_S6_seed20250824,1,0,1.779522e+03
coupling_S6_seed20250824,2,0,1.784723e+03
coupling_S6_seed20250824,3,0,4.179991e+03
coupling_S6_seed20250824,4,0,1.791265e+03
coupling_S6_seed20250824,5,0,4.180000e+03
coupling_S6_seed20250824,6,0,1.780106e+03
coupling_S6_seed20250824,7,0,1.786616e+03
coupling_S6_seed20250824,8,0,4.545829e+03
coupling_S6_seed20250824,9,0,7.696853e+04
coupling_S6_seed20250824,10,0,4.548577e+03
coupling_S6_seed20250824,11,0,7.696853e+04
coupling_S6_seed20250824,12,0,1.791823e+03
coupling_S6_seed20250824,13,0,4.182601e+03
coupling_S6_seed20250824,14,0,4.545835e+03
coupling_S6_seed20250824,15,0,7.696853e+04
coupling_S6_seed20250824,16,0,5.942634e+03
coupling_S6_seed20250824,17,0,7.696882e+04
coupling_S6_seed20250824,18,0,1.798340e+03
coupling_S6_seed20250824,19,0,4.182610e+03
coupling_S6_seed20250824,20,0,4.548583e+03
coupling_S6_seed20250824,21,0,7.696853e+04
coupling_S6_seed20250824,22,0,5.942634e+03
coupling_S6_seed20250824,23,0,7.696882e+04
coupling_S6_seed20250825,0,1,3.002784e+03
coupling_S6_seed20250825,1,0,6.669176e+02
coupling_S6_seed20250825,2,0,6.589225e+02
coupling_S6_seed20250825,3,0,2.933074e+03
coupling_S6_seed20250825,4,0,6.764975e+02
coupling_S6_seed20250825,5,0,2.933081e+03
coupling_S6_seed20250825,6,0,6.714308e+02
coupling_S6_seed20250825,7,0,6.887731e+02
coupling_S6_seed20250825,8,0,2.835145e+03
coupling_S6_seed20250825,9,0,6.682941e+04
coupling_S6_seed20250825,10,0,2.839652e+03
coupling_S6_seed20250825,11,0,6.682941e+04
coupling_S6_seed20250825,12,0,6.810044e+02
coupling_S6_seed20250825,13,0,2.938841e+03
coupling_S6_seed20250825,14,0,2.835156e+03
coupling_S6_seed20250825,15,0,6.682941e+04
coupling_S6_seed20250825,16,0,4.034970e+03
coupling_S6_seed20250825,17,0,6.682952e+04
coupling_S6_seed20250825,18,0,6.981851e+02
coupling_S6_seed20250825,19,0,2.938848e+03
coupling_S6_seed20250825,20,0,2.839663e+03
coupling_S6_seed20250825,21,0,6.682941e+04
coupling_S6_seed20250825,22,0,4.034970e+03
coupling_S6_seed20250825,23,0,6.682952e+04
coupling_S6_seed20250826,0,1,7.638920e+03
coupling_S6_seed20250826,1,0,8.047899e+02
coupling_S6_seed20250826,2,0,8.120290e+02
