stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
primary,Simple,cplex,0.01,1,v1_simple_000162,4,0.0003898162354689578,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000163,4,1.3608361313765242e-06,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000164,4,1.1942159583687673e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000165,4,0.008379160576434586,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000166,4,0.007641108063699398,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000167,4,0.003182022516029653,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000168,4,0.002661674502526766,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000169,4,1.5866480424954047e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000171,4,0.0005551326075515982,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000172,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000173,4,0.00540655598956422,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000174,4,3.169598579185514e-06,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000175,4,0.0004285758984970268,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000177,4,0.00556457740876313,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000178,4,0.006348275461716699,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000179,4,0.012398281150743602,Flat-GM,True
primary,Simple,cplex,0.01,1,v1_simple_000180,4,0.00522567113541537,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000182,4,2.4658573069811575e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000183,4,0.0004245416188759133,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000184,4,0.006090196161638234,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000185,4,4.129778341061472e-05,Flat-GM,False
